virtual_file,total_functions,clean_functions,remaining,clean_percent,total_lines,total_suspects
cockpit/ckptutil.c,55,55,0,100.0,2684,0
cockpit/drawsurf.cpp,93,93,0,100.0,1966,0
cockpit/pkbitmap.cpp,33,33,0,100.0,954,0
cockpit/pkbmpset.cpp,21,21,0,100.0,423,0
core/actor.cpp,183,183,0,100.0,5512,0
core/ammo.cpp,18,18,0,100.0,363,0
core/ammobox.cpp,18,18,0,100.0,306,0
core/anvil.cpp,13,13,0,100.0,192,0
core/armour.cpp,19,19,0,100.0,269,0
core/backgnd.cpp,15,15,0,100.0,161,0
core/baron.cpp,34,34,0,100.0,853,0
core/barrier.cpp,14,14,0,100.0,211,0
core/bat.cpp,16,16,0,100.0,312,0
core/batcreat.cpp,14,14,0,100.0,744,0
core/batman.cpp,16,16,0,100.0,1026,0
core/battery.cpp,17,17,0,100.0,155,0
core/beast.cpp,14,14,0,100.0,164,0
core/biggs.cpp,14,14,0,100.0,366,0
core/bodypart.cpp,45,45,0,100.0,1562,0
core/boneguy.cpp,28,28,0,100.0,1348,0
core/box.cpp,30,30,0,100.0,2014,0
core/boxactor.cpp,46,46,0,100.0,1100,0
core/bride.cpp,14,14,0,100.0,771,0
core/bugs.cpp,44,44,0,100.0,1795,0
core/camview.cpp,6,6,0,100.0,38,0
core/chain.cpp,21,21,0,100.0,870,0
core/charactr.cpp,109,109,0,100.0,4703,0
core/cloth.cpp,55,55,0,100.0,3111,0
core/colonel.cpp,18,18,0,100.0,614,0
core/conveyor.cpp,17,17,0,100.0,334,0
core/course.cpp,15,15,0,100.0,1118,0
core/cow.cpp,14,14,0,100.0,520,0
core/crate.cpp,20,20,0,100.0,309,0
core/crossbow.cpp,12,12,0,100.0,312,0
core/curtain.cpp,26,26,0,100.0,1293,0
core/dcamera.cpp,86,86,0,100.0,4962,0
core/dcube.cpp,39,39,0,100.0,2198,0
core/dest.cpp,13,13,0,100.0,258,0
core/dfilter.cpp,19,19,0,100.0,403,0
core/dfont.cpp,3,3,0,100.0,279,0
core/dglobe.cpp,6,6,0,100.0,237,0
core/dimage.cpp,6,6,0,100.0,131,0
core/dirmat.cpp,7,7,0,100.0,336,0
core/dlight.cpp,34,34,0,100.0,2234,0
core/dmodel.cpp,66,56,10,84.8,4576,92
core/dog.cpp,13,13,0,100.0,455,0
core/door.cpp,28,28,0,100.0,995,0
core/dpart.cpp,15,15,0,100.0,711,0
core/dracbrid.cpp,25,25,0,100.0,1699,0
core/drip.cpp,17,17,0,100.0,414,0
core/drone.cpp,13,13,0,100.0,472,0
core/dskybox.cpp,4,4,0,100.0,245,0
core/dstrender.cpp,31,31,0,100.0,3122,0
core/dtrace.cpp,51,51,0,100.0,3537,0
core/dtri.cpp,28,28,0,100.0,1494,0
core/dynamite.cpp,12,12,0,100.0,163,0
core/elephant.cpp,10,10,0,100.0,409,0
core/emitter.cpp,20,20,0,100.0,850,0
core/enemy.cpp,19,19,0,100.0,495,0
core/event.cpp,56,56,0,100.0,5437,0
core/fileman.cpp,12,12,0,100.0,577,0
core/filmreel.cpp,28,28,0,100.0,382,0
core/fire.cpp,185,185,0,100.0,5789,0
core/flame.cpp,17,17,0,100.0,681,0
core/flamecan.cpp,16,16,0,100.0,261,0
core/flamegun.cpp,10,10,0,100.0,143,0
core/flashlit.cpp,7,7,0,100.0,66,0
core/flattn.cpp,2,2,0,100.0,11,0
core/flies.cpp,22,19,3,86.4,681,14
core/frankgen.cpp,24,20,4,83.3,662,16
core/gabriela.cpp,38,30,8,78.9,2677,56
core/game.cpp,66,66,0,100.0,6745,0
core/gargoyle.cpp,16,16,0,100.0,941,0
core/gasmask.cpp,14,14,0,100.0,131,0
core/ghoul.cpp,18,14,4,77.8,1799,20
core/glass.cpp,24,19,5,79.2,1468,38
core/gore.cpp,54,54,0,100.0,1547,0
core/grave.cpp,17,17,0,100.0,268,0
core/ground.cpp,20,20,0,100.0,892,0
core/gun.cpp,7,7,0,100.0,273,0
core/haystack.cpp,18,18,0,100.0,718,0
core/health.cpp,16,16,0,100.0,155,0
core/hero.cpp,48,48,0,100.0,1225,0
core/hiram.cpp,10,10,0,100.0,166,0
core/hostage.cpp,18,18,0,100.0,1240,0
core/hotdemon.cpp,14,14,0,100.0,599,0
core/hpriest.cpp,9,9,0,100.0,118,0
core/icepick.cpp,23,23,0,100.0,1053,0
core/imp.cpp,17,17,0,100.0,991,0
core/inivar.cpp,2,2,0,100.0,276,0
core/inv.cpp,43,43,0,100.0,3098,0
core/keyactor.cpp,15,15,0,100.0,161,0
core/ladder.cpp,19,19,0,100.0,576,0
core/larva.cpp,13,13,0,100.0,552,0
core/level.cpp,6,6,0,100.0,281,0
core/lever.cpp,22,22,0,100.0,476,0
core/lightgun.cpp,14,14,0,100.0,579,0
core/litecone.cpp,12,12,0,100.0,170,0
core/main.c,10,10,0,100.0,1308,0
core/manpuz.cpp,63,54,9,85.7,1911,55
core/marquee.cpp,16,16,0,100.0,426,0
core/melee.cpp,17,17,0,100.0,268,0
core/menu.cpp,22,22,0,100.0,3575,0
core/mimic.cpp,24,18,6,75.0,1175,38
core/minecar.cpp,7,7,0,100.0,71,0
core/mirror.cpp,22,21,1,95.5,875,11
core/mission.cpp,41,41,0,100.0,1366,0
core/mmx.c,4,4,0,100.0,106,0
core/mobster.cpp,26,22,4,84.6,1679,14
core/moloch.cpp,15,15,0,100.0,588,0
core/moon.cpp,14,14,0,100.0,346,0
core/morph.cpp,49,49,0,100.0,1410,0
core/motion.cpp,33,33,0,100.0,1092,0
core/msnedit.cpp,63,55,8,87.3,4788,51
core/netgame.cpp,64,49,15,76.6,3019,92
core/npc.cpp,14,14,0,100.0,341,0
core/particle.cpp,6,6,0,100.0,155,0
core/passngr.cpp,11,11,0,100.0,348,0
core/path.cpp,25,25,0,100.0,1391,0
core/pendulum.cpp,20,20,0,100.0,668,0
core/platfrm.cpp,30,30,0,100.0,1576,0
core/podmain.cpp,4,4,0,100.0,64,0
core/procedur.cpp,4,4,0,100.0,234,0
core/scat.cpp,25,21,4,84.0,1292,29
core/script.cpp,96,96,0,100.0,10011,0
core/sentinel.cpp,14,14,0,100.0,737,0
core/set.cpp,87,87,0,100.0,5059,0
core/setcolid.cpp,40,40,0,100.0,1555,0
core/setdir.cpp,32,32,0,100.0,1296,0
core/setedit.cpp,58,58,0,100.0,9067,0
core/setutil.cpp,41,41,0,100.0,1409,0
core/shotgun.cpp,10,10,0,100.0,414,0
core/shovel.cpp,8,8,0,100.0,70,0
core/simbox.cpp,15,15,0,100.0,319,0
core/skeledit.cpp,70,66,4,94.3,8748,141
core/skeleton.cpp,117,117,0,100.0,5234,0
core/slew.cpp,4,4,0,100.0,125,0
core/smiley.cpp,16,16,0,100.0,833,0
core/sound.cpp,37,37,0,100.0,1364,0
core/spike.cpp,15,15,0,100.0,518,0
core/spline.cpp,7,7,0,100.0,149,0
core/stairs.cpp,21,21,0,100.0,1047,0
core/stone.cpp,8,8,0,100.0,80,0
core/stranger.cpp,63,63,0,100.0,6240,0
core/succubus.cpp,14,14,0,100.0,614,0
core/svetlana.cpp,19,19,0,100.0,958,0
core/tbplayer.cpp,16,16,0,100.0,315,0
core/teleport.cpp,23,23,0,100.0,324,0
core/tentacle.cpp,15,12,3,80.0,529,22
core/terrain.cpp,4,4,0,100.0,54,0
core/texlist.cpp,14,14,0,100.0,586,0
core/tommygun.cpp,9,9,0,100.0,365,0
core/trap.cpp,17,17,0,100.0,202,0
core/trash.cpp,15,15,0,100.0,441,0
core/trigger.cpp,23,20,3,87.0,1067,13
core/turret.cpp,24,21,3,87.5,987,6
core/tvbat.cpp,20,20,0,100.0,727,0
core/vampboss.cpp,23,23,0,100.0,1272,0
core/vecdir.cpp,2,2,0,100.0,33,0
core/vehicle.cpp,20,20,0,100.0,751,0
core/vessel.cpp,20,20,0,100.0,574,0
core/water.cpp,8,8,0,100.0,326,0
core/wateract.cpp,23,18,5,78.3,769,15
core/waypoint.cpp,19,19,0,100.0,519,0
core/weapon.cpp,27,27,0,100.0,449,0
core/weather.cpp,10,7,3,70.0,555,24
core/werewolf.cpp,21,21,0,100.0,1396,0
core/xform.cpp,61,61,0,100.0,2831,0
core/zombie.cpp,32,32,0,100.0,2336,0
crt/cpp.c,3,2,1,66.7,26,2
crt/ctype.c,2,2,0,100.0,14,0
crt/debug.c,1,0,1,0.0,11,2
crt/env.c,4,0,4,0.0,286,24
crt/errno.c,5,4,1,80.0,51,1
crt/exception.c,5,2,3,40.0,285,4
crt/exit.c,4,1,3,25.0,54,5
crt/file.c,5,3,2,60.0,243,5
crt/fpu.c,1,1,0,100.0,4,0
crt/fstream.cpp,25,7,18,28.0,677,93
crt/heap.c,15,5,10,33.3,547,76
crt/init.c,1,1,0,100.0,22,0
crt/io.c,20,12,8,60.0,801,38
crt/io.c/utime,1,1,0,100.0,6,0
crt/iostream.cpp,26,13,13,50.0,478,28
crt/locale.c,7,5,2,71.4,103,3
crt/math.c,92,11,81,12.0,1241,551
crt/memory.c,16,7,9,43.8,210,19
crt/process.c,9,7,2,77.8,422,26
crt/signal.c,7,5,2,71.4,122,11
crt/stack.c,3,0,3,0.0,39,3
crt/startup.c,5,2,3,40.0,133,8
crt/startup.cpp,2,0,2,0.0,94,28
crt/stdio.c,66,36,30,54.5,1625,90
crt/stdlib.c,18,13,5,72.2,668,65
crt/string.c,30,21,9,70.0,850,58
crt/strstream.cpp,21,6,15,28.6,540,76
crt/sync.c,2,2,0,100.0,8,0
crt/system.c,1,1,0,100.0,5,0
crt/thread.c,2,2,0,100.0,8,0
crt/time.c,17,12,5,70.6,788,24
crt/unknown.c,27,2,25,7.4,731,332
crt/util.c,1,1,0,100.0,7,0
crt/watcom.c,9,5,4,55.6,322,51
crt/windows.c,1,0,1,0.0,16,1
engine/2d.c,76,76,0,100.0,1818,0
engine/3d.c,104,104,0,100.0,4591,0
engine/alphabit.cpp,9,9,0,100.0,330,0
engine/boss.c,5,5,0,100.0,64,0
engine/clipper.c,28,28,0,100.0,2806,0
engine/colquant.c,9,9,0,100.0,592,0
engine/console.cpp,8,8,0,100.0,201,0
engine/dosio.cpp,26,26,0,100.0,477,0
engine/drender.cpp,88,88,0,100.0,3032,0
engine/fileio.cpp,73,50,23,68.5,6922,144
engine/font.cpp,49,49,0,100.0,2198,0
engine/ini.cpp,18,18,0,100.0,453,0
engine/keyframe.c,5,5,0,100.0,417,0
engine/keys.cpp,9,9,0,100.0,56,0
engine/light.cpp,10,10,0,100.0,185,0
engine/matrix.c,30,30,0,100.0,1091,0
engine/model.c,8,8,0,100.0,552,0
engine/ncursfx.cpp,11,11,0,100.0,163,0
engine/palette.cpp,10,10,0,100.0,392,0
engine/pcx.c,4,4,0,100.0,331,0
engine/pod.cpp,34,33,1,97.1,1615,2
engine/prim.c,21,21,0,100.0,1870,0
engine/texture.cpp,22,22,0,100.0,654,0
engine/winfont.cpp,9,9,0,100.0,330,0
entry,1,0,1,0.0,65,10
shape/cramtex.cpp,21,17,4,81.0,2222,40
shape/design.c,163,114,49,69.9,11811,279
shape/dsemodel.cpp,10,10,0,100.0,329,0
shape/edittool.cpp,151,151,0,100.0,6425,0
shape/memdbg.cpp,26,26,0,100.0,605,0
shape/meshlod.cpp,124,87,37,70.2,6913,188
shape/multicrm.cpp,6,6,0,100.0,115,0
shape/quantize.cpp,33,24,9,72.7,1466,54
shape/spotview.cpp,6,6,0,100.0,215,0
shape/superopt.cpp,186,140,46,75.3,10000,394
sound/mp3.cpp,57,57,0,100.0,4680,0
sound/snddx.cpp,32,32,0,100.0,1433,0
sound/sndmain.cpp,193,193,0,100.0,6577,0
sound/sndwav.cpp,35,35,0,100.0,765,0
support/codec.cpp,40,40,0,100.0,821,0
support/newmsg.cpp,4,4,0,100.0,210,0
support/trisock.cpp,32,32,0,100.0,355,0
wincore/wddvmem.cpp,28,28,0,100.0,1016,0
wincore/windll.cpp,72,72,0,100.0,3544,0
wincore/winrun.cpp,33,33,0,100.0,1140,0
wincore/winvideo.cpp,5,5,0,100.0,262,0
